title,overview,original_language,release_date,vote_average,popularity,vote_count
Haunters,"Cho-in has special powers that allow him to control everyone he can see, that is until he meets Kyu-nam, the only person he can't control. A series of events begins a confrontation that pushes both men to the brink.",ko,2010-11-10,6.264,2.2464,74
Daybreakers,"In the year 2019, a plague has transformed almost every human into a vampire. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vampires on a way to save humankind.",en,2010-01-06,6.3,1.9004,2010
Monster Grizzly,A terrifying monster grizzly bear comes out of a blinding blizzard to feed on the trapped residents of an isolated town.,en,2023-10-31,1.333,2.0876,3
Universal Soldier: Regeneration,"When terrorists threaten nuclear catastrophe at Chernobyl, the world's only hope is to reactivate decommissioned Universal Soldier Luc Deveraux. Rearmed and reprogrammed, Deveraux must take on his nemesis from the original Universal Soldier and a next-generation ""UniSol"" that seems almost unstoppable.",en,2009-10-01,5.6,2.1948,477
Cruel War,"Yan Xin, a female scientist at Hainan Xingye Torch Company, used gene editing technology to cultivate super rubber seeds and went to Yinfan Island overseas for trial planting, hoping to turn it into a rich new world. Lin Xiang of the International Security Company personally led the team to this crisis-ridden land in order to protect his still beloved ex-wife Yan Xin. Since their arrival, conflicts and conspiracies have been taking turns, with the figure of local drug lord Li Wenyao looming behind them. Unknown dangers, the ultimate showdown, the two people opposing good and evil cannot escape the destined battle.",zh,2024-03-06,7.0,2.2143,1
The Fourth Protocol,"Led by Kim Philby, Plan Aurora is a plan that breaches the top-secret Fourth Protocol and turns the fears that shaped it into a living nightmare. A crack Soviet agent, placed under cover in a quiet English country town, begins to assemble a nuclear bomb, whilst an MI5 agent attempts to prevent its detonation.",en,1987-03-20,6.3,2.6311,182
Fresh,"Death and violence anger twelve year old drug courier Fresh, who sets his rival employers against each other.",en,1994-06-15,7.2,2.0554,218
Master of the Flying Guillotine,"A one-armed martial arts master is being stalked by an Imperial assassin, the master of two fighters  killed in the previous film. When the One-Armed Boxer is invited to attend a martial arts tournament, his efforts to lay low are unsuccessful, and the assassin soon tracks him down with the help of his three subordinates: a Thai boxer, a yoga master, and a kobojutsu user.",zh,1976-04-24,6.647,1.8589,95
No Escape,"In the year 2022, a ruthless prison warden has created the ultimate solution for his most troublesome and violent inmates: Absolom, a secret jungle island where prisoners are abandoned and left to die. But Marine Captain John Robbins, convicted of murdering a commanding officer, is determined to escape the island in order to reveal the truth behind his murderous actions and clear his name.",en,1994-04-29,6.245,1.9684,437
Tom and Jerry Blast Off to Mars!,"While carrying on their usual hi-jinks, they inadvertantly stow-away on a spaceship bound for Mars. They meet up with the local Martian residents and cause them to invade the Earth, aided by the ""Invincitron"", a vacuum-wielding giant robot. Tom, Jerry and their Martian ally, Peep, save the day.",en,2005-01-18,6.5,2.2356,134
Code Geass: Akito the Exiled 5: To Beloved Ones,"The Ark Fleet has been destroyed, and a significant number of the enemy's troops have been wiped out due to its crash landing. As the remaining forces of the Holy Order of Michael regroup in order to launch a final assault on Weiswolf Castle, the wZERO unit, along with their new ally Ashley Ashra, stand ready to intercept them. Meanwhile, with his Geass out of control, Shin moves to erase his younger brother's existence once and for all. But Akito, having promised Leila that he will come back alive, refuses to accept such a fate, and the two clash in their final battle.",ja,2016-02-06,6.1,1.9187,42
Highlander II: The Quickening,"In the year 2024, the ozone layer is believed to have been destroyed, and it's up to MacLeod and Ramirez to set things right. Opposition comes from both the planet Zeist (MacLeod and Ramirez's homeworld) and a corporation profiting from the supposed lack of ozone. Also, flashbacks show the story behind MacLeod and Ramirez's exile from Zeist.",en,1991-01-13,4.7,2.1901,884
From Hell,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,en,2001-02-08,6.698,2.1866,2864
For Night Will Come,"The day they move into a new neighborhood, the Feral family plans to look as normal and friendly as possible. But their son, Philemon, is no ordinary teenager. When he gets closer to his new neighbor, Camila, his thirst for blood grows and his difference becomes impossible to hide…",fr,2024-06-05,5.361,1.8361,36
"My Sister, Sister, Sister...","I was once a novelist who was looking forward to the future, but now I am living in a house that is just a handful. I have to write, but the enthusiasm for writing has long been lost. One day when I was bored every day, my friend (Jane) of Sukjep (exponent) comes home. Jane pulls the hair out of her face with a sweaty face on a hot summer day and sits on the front door. When I saw Jane who seemed innocent and innocent and sexy, my heart was rocked ...",ko,2019-01-01,5.0,2.2241,2
Martial Arts of Shaolin,"In ancient China, Zhi Ming trains at the legendary Northern Shaolin temple to avenge the death of his father at the hands of a nefarious magistrate.",zh,1986-02-01,6.4,3.6102,78
Martial Arts of Shaolin,"In ancient China, Zhi Ming trains at the legendary Northern Shaolin temple to avenge the death of his father at the hands of a nefarious magistrate.",zh,1986-02-01,6.4,3.6102,78
The Battle at Lake Changjin II: Water Gate Bridge,"In the follow-up to ""The Battle At Lake Changjin"", brothers Wu Qianli and Wu Wanli undertake a new task for the People's Volunteer Army, defending a bridge part of the American troops' escape route from the advancing Chinese.",zh,2022-02-01,6.348,2.1272,79
I Want to Be Neenja! The Movie,"Follows the amazing GoGirl as she tries to defeat the evil Chow, a billionaire villain on a mission to end smiles. This hilarious, action packed comedy will have you laughing at every twist and turn along the way.",en,2024-06-21,1.0,0.7985,2
Magic to Win,"Nobody knows that Professor Hong Sum Kwai is actually the Water Magician, one of the five elemental wizards. One day, Hong accidentally loses his magical powers, which are transferred to his student Cheng Meisi. The girl happily uses the superhuman abilities she acquired by luck in life, at school, and on the volleyball court, but those powers also land her in trouble as a war of wizardry rages around her... Fire Magician Bi Yewu is desperate to turn back time to change a tragedy in the past, but to do so he needs to bring together the powers of all five elemental wizards. Wood Magician Gu Xinyue foresees catastrophe if time is warped, so he alerts the other wizards - including Earth Magician Ling Feng and Metal Magician Charlie  - to join forces and prevent it from happening...",cn,2011-12-01,4.1,2.0686,14
Peaky Blinders: The True Story,"The story of the real Peaky Blinders and how they became a TV sensation. Hear of the actual gangsters who became leading characters in the series and the real events behind many of the main story lines, learn the identity of the crime family that inspired the Shelbys, then take a tour of the film locations where the dark and violent world of the Peaky Blinders was recreated.",en,2016-04-02,8.6,2.2396,24
Kung Fu Panda: Secrets of the Furious Five,"Ordered to teach a martial arts class of rambunctious bunny kittens, Po tells stories of each of the Furious Five's pasts.",en,2008-11-08,6.7,2.5541,433
Keeping Up with the Joneses,An ordinary suburban couple finds it’s not easy keeping up with the Joneses – their impossibly gorgeous and ultra-sophisticated new neighbors – especially when they discover that Mr. and Mrs. “Jones” are covert operatives.,en,2016-10-20,6.093,2.3356,2055
